site_id,vegetation_type,metadata_source
US-DIA,GRA,ameriflux_site_search
US-DIX,MF,ameriflux_site_search
US-DK1,GRA,ameriflux_site_search
US-DK2,DBF,ameriflux_site_search
US-DK3,ENF,ameriflux_site_search
US-DMG,WET,ameriflux_site_search
US-DPP,ENF,ameriflux_site_search
US-DPW,WET,ameriflux_site_search
US-DS1,CRO,ameriflux_site_search
US-DS2,CRO,ameriflux_site_search
US-DS3,CRO,ameriflux_site_search
US-DUF,URB,ameriflux_site_search
US-E32,CVM,ameriflux_site_search
US-EA4,MF,ameriflux_site_search
US-EA5,CSH,ameriflux_site_search
US-EA6,WSA,ameriflux_site_search
US-EDN,WET,ameriflux_site_search
US-EKH,WET,ameriflux_site_search
US-EKN,WET,ameriflux_site_search
US-EKP,WET,ameriflux_site_search
US-EKY,WET,ameriflux_site_search
US-ELM,WET,ameriflux_site_search
US-EML,OSH,ameriflux_site_search
US-EPM,SAV,ameriflux_site_search
US-ESM,WET,ameriflux_site_search
US-EVM,WET,ameriflux_site_search
US-FBE,WAT,ameriflux_site_search
US-FCR,OSH,ameriflux_site_search
US-FMF,ENF,ameriflux_site_search
US-FO1,WET,ameriflux_site_search
US-FO2,WET,ameriflux_site_search
US-FPE,GRA,ameriflux_site_search
US-FR1,GRA,ameriflux_site_search
US-FR2,WSA,ameriflux_site_search
US-FR3,CSH,ameriflux_site_search
US-FUF,ENF,ameriflux_site_search
US-FWF,GRA,ameriflux_site_search
US-GBT,ENF,ameriflux_site_search
US-GCE,WET,ameriflux_site_search
US-GL1,WAT,ameriflux_site_search
US-GL2,WAT,ameriflux_site_search
US-GLE,ENF,ameriflux_site_search
US-GMF,MF,ameriflux_site_search
US-GOO,GRA,ameriflux_site_search
US-GR8,CRO,ameriflux_site_search
US-GR9,CRO,ameriflux_site_search
US-GZ1,CRO,ameriflux_site_search
US-GZ2,CRO,ameriflux_site_search
US-GZ3,CRO,ameriflux_site_search
US-HA1,DBF,ameriflux_site_search
US-HA2,ENF,ameriflux_site_search
US-HA3,WET,ameriflux_site_search
US-HB1,WET,ameriflux_site_search
US-HB2,ENF,ameriflux_site_search
US-HB3,ENF,ameriflux_site_search
US-HB4,WET,ameriflux_site_search
US-HB5,ENF,ameriflux_site_search
US-HB6,ENF,ameriflux_site_search
US-HB7,WET,ameriflux_site_search
US-HBA,CRO,ameriflux_site_search
US-HBB,CRO,ameriflux_site_search
US-HBK,DBF,ameriflux_site_search
US-HN1,OSH,ameriflux_site_search
US-HN2,GRA,ameriflux_site_search
US-HN3,OSH,ameriflux_site_search
US-HO1,ENF,ameriflux_site_search
US-HO2,ENF,ameriflux_site_search
US-HO3,ENF,ameriflux_site_search
US-HPY,WET,ameriflux_site_search
US-HRA,CRO,ameriflux_site_search
US-HRC,CRO,ameriflux_site_search
US-HRN,CRO,ameriflux_site_search
US-HRO,WET,ameriflux_site_search
US-HRP,WET,ameriflux_site_search
US-HRS,CRO,ameriflux_site_search
US-HSM,WET,ameriflux_site_search
US-HVA,WET,ameriflux_site_search
US-HVS,WET,ameriflux_site_search
US-HWB,CVM,ameriflux_site_search
US-IAA,CRO,ameriflux_site_search
US-IAB,CRO,ameriflux_site_search
US-IAC,CRO,ameriflux_site_search
US-IAM,CRO,ameriflux_site_search
US-IB1,CRO,ameriflux_site_search
US-IB2,GRA,ameriflux_site_search
US-ICH,OSH,ameriflux_site_search
US-ICS,WET,ameriflux_site_search
US-ICT,OSH,ameriflux_site_search
US-IL1,GRA,ameriflux_site_search
US-INA,URB,ameriflux_site_search
US-INB,URB,ameriflux_site_search
US-INC,URB,ameriflux_site_search
US-IND,CRO,ameriflux_site_search
US-INE,CRO,ameriflux_site_search
US-INF,URB,ameriflux_site_search
US-ING,URB,ameriflux_site_search
US-INI,CRO,ameriflux_site_search
US-INJ,CRO,ameriflux_site_search
US-INN,CRO,ameriflux_site_search
US-INP,CRO,ameriflux_site_search
US-IS1,CRO,ameriflux_site_search
US-IS2,CRO,ameriflux_site_search
US-IS3,CRO,ameriflux_site_search
US-IVO,WET,ameriflux_site_search
US-JFM,ENF,ameriflux_site_search
US-JFP,ENF,ameriflux_site_search
US-JLN,WET,ameriflux_site_search
US-JLR,WET,ameriflux_site_search
US-JO1,OSH,ameriflux_site_search
US-JO2,OSH,ameriflux_site_search
US-JO3,BSV,ameriflux_site_search
US-JRN,GRA,ameriflux_site_search
US-JXG,OSH,ameriflux_site_search
US-JXN,OSH,ameriflux_site_search
US-JXS,OSH,ameriflux_site_search
US-KCM,CRO,ameriflux_site_search
US-KEY,CRO,ameriflux_site_search
US-KFB,GRA,ameriflux_site_search
US-KFS,GRA,ameriflux_site_search
US-KGF,GRA,ameriflux_site_search
US-KL1,CRO,ameriflux_site_search
